meet_name,meet_date,season_year,race_name,course_name,gender
CA State Championships,2021-11-27,2021,Not Disclosed,"Woodward Park, 5 Kilometers",F
CCS Championsips,2021-11-13,2021,Not Disclosed,"Crystal Springs, 2.95 Miles",F
BVAL Championsips,2021-11-01,2021,Not Disclosed,"Crystal Springs, 2.95 Miles",F
MHAL #4,2021-10-27,2021,Not Disclosed,"Montgomery Hill, 2.74 Miles",F
MHAL #3,2021-10-14,2021,Not Disclosed,"Montgomery Hill, 2.74 Miles",F
MHAL #2,2021-10-07,2021,Not Disclosed,"Montgomery Hill, 2.74 Miles",F
Crystal Springs Invitational,2021-10-02,2021,Not Disclosed,"Crystal Springs, 2.95 Miles",F
Lowell Invitational,2021-09-11,2021,Not Disclosed,"Golden Gate Park, 2.93 Miles",F
Lowell Invitational,2021-09-11,2021,Not Disclosed,"Golden Gate Park, 2.13 Miles",F
MHAL #1,2021-09-09,2021,Not Disclosed,"Montgomery Hill, 2.74 Miles",F
League Meet,2021-03-30,2020,Not Disclosed,"Willow Glen High, 2.56 Miles",F
League Meet,2021-03-26,2020,Not Disclosed,"Westmont High School, 5 Kilometers",F
League Meet,2021-03-23,2020,Not Disclosed,"Santa Teresa High School, 2.85 Miles",F
League Meet,2021-03-19,2020,Not Disclosed,"Westmont High School, 5 Kilometers",F
League Meet,2021-03-16,2020,Not Disclosed,"Andrew Hill High School, 2.53 Miles",F
League Meet,2021-03-12,2020,Not Disclosed,"Pleasant Hills High School, 2.75 Miles",F
League Meet,2021-03-09,2020,Not Disclosed,"Westmont High School, 5 Kilometers",F
Foot Locker West,2019-12-07,2019,Not Disclosed,"Mt SAC (Rain Course), 4.5 Kilometers",F
Foot Locker West,2019-12-07,2019,Not Disclosed,"Mt SAC (Rain Course), 5 Kilometers",F
CA State Championship,2019-11-30,2019,Not Disclosed,"Woodward Park, 5 Kilometers",F
CCS Championsips,2019-11-16,2019,Not Disclosed,"Crystal Springs, 2.95 Miles",F
BVAL Championships,2019-11-04,2019,Not Disclosed,"Crystal Springs, 2.95 Miles",F
Mt. Sac XC Invitational,2019-10-26,2019,Not Disclosed,"Mt SAC, 2.93 Miles",F
Rough Rider Inv.,2019-10-18,2019,Not Disclosed,"Woodward Park, 5 Kilometers",F
League Meet,2019-10-16,2019,Not Disclosed,"Montgomery Hill, 2.74 Miles",F
Crystal Springs Invitational,2019-10-12,2019,Not Disclosed,"Crystal Springs, 2.95 Miles",F
League Meet,2019-10-09,2019,Not Disclosed,"Montgomery Hill, 2.74 Miles",F
Scott Bauhs Invitational,2019-09-28,2019,Not Disclosed,"Shadow Cliffs Regional Park, 2.95 Miles",F
Capital Cross Challenge,2019-09-28,2019,Not Disclosed,"Arcade Creek GC, 5 Kilometers",F
League Meet,2019-09-12,2019,Not Disclosed,"Montgomery Hill, 2.74 Miles",F
Lagoon Valley Classic,2019-09-07,2019,Not Disclosed,"Lagoon Valley Park, 3 Miles",F
Lagoon Valley Classic,2019-09-07,2019,Not Disclosed,"Lagoon Valley Park, 2 Miles",F
Time Trial,2019-08-29,2019,Not Disclosed,"La Rinconada Area, 5 Kilometers",F
CA State Championship,2018-11-24,2018,Not Disclosed,"Woodward Park, 5 Kilometers",F
CCS Championsips,2018-11-18,2018,Not Disclosed,"Toro Park, 5 Kilometers",F
BVAL Championships,2018-10-29,2018,Not Disclosed,"Crystal Springs, 2.95 Miles",F
League Meet,2018-10-24,2018,Not Disclosed,"Montgomery Hill, 2.74 Miles",F
Meadow Park Invite,2018-10-20,2018,Not Disclosed,"Meadow Park, 3 Miles",F
League Meet,2018-10-17,2018,Not Disclosed,"Montgomery Hill, 2.74 Miles",F
Crystal Springs Invitational,2018-10-06,2018,Not Disclosed,"Crystal Springs, 2.95 Miles",F
